theme,record_type,video_id,title,creator,channel_id,url,views,thumbnail_description,video_description,comment_summary_description,fused_score,matched_signals,relevance,video_count,videos
mental health,creator,,,Ninja,UCAW-NpUFkMyCNrvRSSGIvDQ,,,,,,,,0.01515,1,"[{""video_id"": ""uJWdQzOccaU"", ""title"": ""Creating A New Meta  - LIVE"", ""url"": ""https://www.youtube.com/watch?v=uJWdQzOccaU""}]"
mental health,creator,,,FaZe Rug,UCilwZiBBfI9X6yiZRzWty8Q,,,,,,,,0.01493,1,"[{""video_id"": ""1ftpRWfmL7I"", ""title"": ""Sneaking Into A Graduation &amp; Giving Away $10,000!!"", ""url"": ""https://www.youtube.com/watch?v=1ftpRWfmL7I""}]"
mental health,creator,,,Koen,UCs_ihBlgu4Buvf8FN9sTXjg,,,,,,,,0.01471,1,"[{""video_id"": ""vOWdJsYI9So"", ""title"": ""DEZE GOZER IS TOTAAL DE WEG KWIJT 😂"", ""url"": ""https://www.youtube.com/watch?v=vOWdJsYI9So""}]"
mental health,creator,,,Dhar Mann Studios,UC_hK9fOxyy_TM8FJGXIyG8Q,,,,,,,,0.01449,1,"[{""video_id"": ""6pmlPTYQ70M"", ""title"": ""STEPMOM MISTREATS Husband&#39;s Son, What Happens Next Is Shocking | Dhar Mann"", ""url"": ""https://www.youtube.com/watch?v=6pmlPTYQ70M""}]"
mental health,creator,,,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,,,,,,,,0.01429,1,"[{""video_id"": ""Y4ahw4kvkog"", ""title"": ""Ice Spice x Central Cee Collab Confirmed?"", ""url"": ""https://www.youtube.com/watch?v=Y4ahw4kvkog""}]"
beauty,video,tnRrNLYBl8s,#창빈 의 #락챌린지 #LALALALA_Challenge 🤘 w/ #ITZY #CHAERYEONG #채령!👑 #StrayKids #스트레이키즈 #Changbin #樂_STAR,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,https://www.youtube.com/watch?v=tnRrNLYBl8s,7824041,"The image shows two people in a modern, brightly lit room with a wooden floor and a white, wood-accented ceiling. Both individuals are presenting as young adults. The person on the left is standing upright, facing forward, wearing all black and long pants, and presenting a neutral facial expression. The person on the right is wearing dark clothing and a light-colored cap, raising one leg out to the side while extending their arm to the same side, possibly performing a dance move. The background features geometric wall patterns and an air conditioning vent on the ceiling. Overall, the composition focuses on both people in the center, suggesting a dance practice or rehearsal. The mood conveyed appears focused and concentrated.",창빈 의 #락챌린지 #LALALALA_Challenge w/ #ITZY #CHAERYEONG #채령!   #StrayKids #스트레이키즈 #Changbin ...,"The comments overwhelmingly focus on the 'sibling energy' and close friendship between Changbin and Chaeryeong, often comparing them to brother and sister rather than romantic partners. Fans express admiration for their dance skills, charisma, and strong chemistry, frequently calling them an iconic K-pop duo and praising their joint performances. There is also considerable appreciation for their appearances and playful interactions, while a smaller portion of comments discusses shipping and the broader culture of idol collaborations. Overall, the sentiment is highly positive, with viewers celebrating the fun, talent, and natural bond the two idols display.",0.01639,"[""topic""]",,,
beauty,video,jNtAxzvnDjU,BEFORE WE MOVE INTO OUR NEW HOUSE… #shorts,JUSTKASS,UCMCMjTKUqJ1pUzmHnKrmiCA,https://www.youtube.com/watch?v=jNtAxzvnDjU,636241,"The image shows a young adult presenting female, standing indoors, possibly in a bathroom or bedroom, based on the plain door and neutral-colored walls in the background. The person is wearing a light zip-up garment and has long hair with a braided-style headband. She has both hands raised in front of her at chest level, with fingers spread and palms facing inward, possibly in the middle of gesturing or explaining something. Both wrists are adorned with pink, fluffy scrunchies. Visible text overlaid on the image reads, 'of just starting now.' The lighting is soft and natural, and the composition centers the upper half of the person's body. The mood suggests openness, explanation, or sharing information.",The SOONER the BETTER... Day 1 of starting healthy habits! No reason to wait any longer than right NOW! ☀️  ‍♀️ #day1 ...,"The comments are overwhelmingly supportive and positive, with viewers expressing excitement about Kass's new dream house, her morning and beauty routines, and her inspiring attitude. Many comments focus on her aesthetic lifestyle, skincare, and personal growth, while others share encouragement, discuss hopes for her to have a 'rainbow baby', and comment on her family and pets. There is a strong sense of community, admiration, and emotional encouragement, with viewers frequently referencing inspiration, positivity, and gratitude for the content. Overall, sentiment is strongly positive and engaged, centering around Kass's life updates and aspirational routines.",0.01613,"[""topic""]",,,
beauty,video,6zpR_K71n58,Young Lady Danbury Actor Arsema Thomas&#39;s Night-Out Makeup Look | Beauty Secrets | Vogue,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=6zpR_K71n58,364625,"The thumbnail features an individual with long, dark braided hair. The person appears to be using a makeup brush on the side of their face, suggesting a beauty or self-care activity. The background consists of a wooden or bamboo-textured wall with a hint of greenery, such as a houseplant, and a wooden structure to the right. The person's attire seems casual, possibly a sweater or similar garment. The prominent 'VOGUE' logo is positioned in the lower-left corner, indicating association with the well-known fashion and lifestyle publication. Warm tones and soft lighting create a calm, inviting atmosphere. The visual composition and activity suggest themes of personal grooming and self-expression.","Actor Arsema Thomas, who plays Lady Danbury in Queen Charlotte: A Bridgerton Story, walks us through her night-out makeup ...","The comments are overwhelmingly positive, with viewers praising Arsema's striking beauty, charisma, and screen presence. Many express admiration for her acting talent, particularly her portrayal in 'Queen Charlotte', and are excited about her use of skincare and beauty products, with some seeking product details and routine tips. Fans appreciate her authenticity, intelligence, and cultural background, though some critique the video editing for cutting her off. Overall, the sentiment is highly enthusiastic, with calls for more content featuring her and recognition of her as a standout, multifaceted actress.",0.01587,"[""topic""]",,,
beauty,video,nEVY2PXkI7M,The Biggest Moment of Gigi Hadid&#39;s Career,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=nEVY2PXkI7M,544620,"The image shows the upper body of a person with a light skin tone, likely a young adult. The individual is wearing a light blue denim jacket over what appears to be a light-colored top. A delicate gold necklace with small triangular pendants is visible around their neck. The setting appears to be indoors, possibly in a modern or creative work environment, suggested by blurred figures and objects, including screens or equipment, in the background. The composition places visual emphasis on the person's apparel and jewelry. The VOGUE logo is prominently displayed in the bottom left corner, indicating the image is associated with the fashion magazine. The overall mood suggests a focus on fashion, style, and personal expression.","Supermodel Gigi Hadid has a schedule packed full of flights and photoshoots. In-between trips from New York to LA, Gigi invites ...","The comments predominantly praise the featured woman (Gigi) for her beauty, with many expressing admiration and affection for her appearance and charm. There are also mentions of her talents, voice, and personality, as well as several references to her modeling achievements and resemblance to other celebrities. Discussions include both supportive and negative sentiments, with one comment expressing strong criticism related to political matters. The overall sentiment is overwhelmingly positive, centering on admiration for her looks and likability, but includes a minor undercurrent of controversy.",0.01562,"[""topic""]",,,
beauty,video,QM3zhxZ2EGU,Model Anok Yai Was Discovered on Instagram,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=QM3zhxZ2EGU,1060570,"The image shows the upper body of a person seated indoors, likely in a car or vehicle, as suggested by the visible seat and background elements. The individual has a light brown complexion and is wearing a light-colored hoodie. The person's expression and other facial features are not discernible. The lighting is neutral, with no harsh shadows or high contrast. The setting appears casual and relaxed. In the bottom left corner, the 'VOGUE' logo is displayed in white, indicating a connection to fashion or media content. The overall composition emphasizes the person's upper torso and the logo.",Sudanese model Anok Yai was studying to be a surgeon in New Hampshire until Instagram changed her life. Still haven't ...,"The comments overwhelmingly praise Anok Yai's physical beauty, with frequent references to her viral photo that launched her modeling career. Many highlight her natural features—especially her skin and eyes—while celebrating her success as a story of destiny or miraculous luck. There is strong admiration for her authenticity, humility, and the representation she brings to black beauty in the fashion industry. Some commenters also reflect on the role of 'pretty privilege,' the impact of social media, and express hopes that she remains grounded and stays true to herself; overall, the sentiment is highly positive, celebratory, and inspired.",0.01538,"[""topic""]",,,
beauty,video,9Bo61gPuZM4,"Irina Shayk, Adut Akech, Vittoria Ceretti &amp; More Model Lingerie on the Dolce &amp; Gabbana Runway",Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=9Bo61gPuZM4,130349,"The image shows a fashion runway scene featuring an adult female-presenting model walking in semi-sheer black lingerie and stockings. The model's outfit has lace and strap details, and she is captured mid-stride, emphasizing movement. In the background, audience members are seated and many are holding up smartphones to take photos or videos. The foreground is dominated by the model, while the lighting highlights the runway and draws attention to the clothing. The Vogue logo appears in the lower left corner. The overall mood is one of anticipation and excitement, with visual emphasis placed on the model’s attire.",Watch as some of the world's top model walk the D&G runway in lingerie dresses. Still haven't subscribed to Vogue on YouTube?,"The comments overwhelmingly praise the diversity and inclusivity featured in the model line-up, highlighting the presence of different body types and well-known models like Vittoria, Irina, Adut, and Ashley Graham. Viewers express admiration for the beautiful outfits, the models' distinctive walks, and the positive representation on the runway. Sentiment is predominantly supportive and celebratory, with many noting the empowering and refreshing portrayals, though a minority expresses critical views on body representation. Overall, the response reflects strong enthusiasm for fashion shows that value inclusivity and individuality.",0.01515,"[""topic""]",,,
beauty,video,xAzsiSYYcw8,Jennifer Lawrence on Her First Time Feeling Famous,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=xAzsiSYYcw8,4669324,"The image shows a close-up of a young adult presenting as female, with long blonde hair and light skin. She is smiling softly, suggesting a relaxed or pleasant mood. The lower part of her face is visible, with teeth slightly showing. She is wearing a cream-colored top and a gold necklace with a prominent green pendant. The background is blurred, giving the impression of an indoor or semi-outdoor setting. The word 'VOGUE' is displayed in bold white font in the lower left corner, indicating a possible association with the fashion magazine. The overall color palette is soft and warm, with visual emphasis on her smile and necklace.","Watch as Jennifer Lawrence answers 73 rapid-fire questions, all while playing a rousing round of mini golf. Still haven't ...","The comments overwhelmingly focus on Jennifer Lawrence's physical beauty and natural charm, often praising her attractiveness, eyes, and down-to-earth personality. Many viewers express admiration for her sense of humor, acting talent, and authenticity, with frequent comparisons to other celebrities and references to The Hunger Games. There is a strong fan presence expressing love, crushes, and appreciation, though a notable minority includes critical remarks and references to controversies such as the Harvey Weinstein allegations. Overall, the sentiment is highly positive, celebrating her looks, talent, and relatable personality, with occasional negative or skeptical opinions.",0.01493,"[""topic""]",,,
beauty,video,P92e-LSk9I0,Steven Meisel &amp; Arthur Elgort Shaped Christy Turlington&#39;s Early Career,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=P92e-LSk9I0,35200,"The thumbnail shows a close-up view of the right side of a person's head and neck, likely an adult with long, brown hair. The person is wearing a large gold hoop earring and a light-colored collared shirt, possibly white or beige. The background is plain and neutral, possibly a gray wall. The visual emphasis is on the jewelry and ear, with soft lighting that creates a calm atmosphere. The image composition suggests an interview or profile shot, possibly related to style, fashion, or personal expression.","Naomi Campbell, Cindy Crawford, Linda Evangelista and Christy Turlington reflect on the supermodel era with Vogue.","Commenters overwhelmingly praise Christy's natural beauty and her ability to age gracefully, contrasting her appearance with that of others who may have undergone cosmetic procedures. There is some critique of makeup choices, particularly unnatural-looking eyebrows, and a discussion about the quality of compliments in the comment section. The sentiment is largely positive and admiring, with recurring themes of elegance, authenticity, and respect for aging naturally.",0.01471,"[""topic""]",,,
beauty,video,wF2sW2nQa1Q,Precious Lee&#39;s Guilty Pleasure,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=wF2sW2nQa1Q,6440,"The image shows a close-up of a person, likely a young adult, with long hair and painted fingernails. The focus is on their mouth and hand as they are in the process of licking or consuming a red lollipop. The background is out of focus and nondescript, drawing attention to the act of eating the lollipop. The lighting is relatively soft and the colors are warm, with emphasis on the red of the lollipop and the pinkish tones of the tongue and lips. There is no visible text or prominent symbols. The composition suggests a sense of curiosity or playfulness.","British Vogue presents 'In The Bag' with Precious Lee. The American model reveals her daily essentials, as we take a look inside ...","The comments express admiration for the woman's physical beauty, highlighting her natural look and the confidence she exudes. Viewers are overwhelmingly positive, focusing on appearance and the impact of self-assurance. Key themes include appreciation for authenticity and natural confidence.",0.01449,"[""topic""]",,,
beauty,video,VaPeQr_sTPU,Ellie Goldstein On What Her Disability Has Taught Her,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,https://www.youtube.com/watch?v=VaPeQr_sTPU,19723,"The image shows a close-up of a person with long, dark brown hair, likely a female-presenting individual, situated against a plain, warm-toned background. The composition is centered on the individual's head and shoulders. Lighting appears soft, giving a natural and calm atmosphere to the image. There are no visible objects, text, or symbols in the frame. The overall color palette consists mainly of earthy tones such as brown and beige. The visual emphasis is on the individual's hair and body posture, which convey a neutral or contemplative mood.","My Disability has taught me to be me and not to be scared,” says British Vogue's May 2023 cover star Ellie Goldstein. Footage of ...","The comments are overwhelmingly positive, with viewers frequently complimenting the woman's beauty and expressing admiration for her attitude and personality. Many people mention that she is inspiring, supportive, and brings positivity, while a few leave humorous or joking remarks. Some users compare her to celebrities and notable figures, adding a light, pop-cultural aspect to the discussion. Overall sentiment is supportive, celebratory, and uplifting.",0.01429,"[""topic""]",,,
beauty,creator,,,Vogue,UCRXiA3h1no_PFkb1JCP0yMA,,,,,,,,0.12043999999999999,8,"[{""video_id"": ""6zpR_K71n58"", ""title"": ""Young Lady Danbury Actor Arsema Thomas&#39;s Night-Out Makeup Look | Beauty Secrets | Vogue"", ""url"": ""https://www.youtube.com/watch?v=6zpR_K71n58""}, {""video_id"": ""nEVY2PXkI7M"", ""title"": ""The Biggest Moment of Gigi Hadid&#39;s Career"", ""url"": ""https://www.youtube.com/watch?v=nEVY2PXkI7M""}, {""video_id"": ""QM3zhxZ2EGU"", ""title"": ""Model Anok Yai Was Discovered on Instagram"", ""url"": ""https://www.youtube.com/watch?v=QM3zhxZ2EGU""}, {""video_id"": ""9Bo61gPuZM4"", ""title"": ""Irina Shayk, Adut Akech, Vittoria Ceretti &amp; More Model Lingerie on the Dolce &amp; Gabbana Runway"", ""url"": ""https://www.youtube.com/watch?v=9Bo61gPuZM4""}, {""video_id"": ""xAzsiSYYcw8"", ""title"": ""Jennifer Lawrence on Her First Time Feeling Famous"", ""url"": ""https://www.youtube.com/watch?v=xAzsiSYYcw8""}, {""video_id"": ""P92e-LSk9I0"", ""title"": ""Steven Meisel &amp; Arthur Elgort Shaped Christy Turlington&#39;s Early Career"", ""url"": ""https://www.youtube.com/watch?v=P92e-LSk9I0""}, {""video_id"": ""wF2sW2nQa1Q"", ""title"": ""Precious Lee&#39;s Guilty Pleasure"", ""url"": ""https://www.youtube.com/watch?v=wF2sW2nQa1Q""}, {""video_id"": ""VaPeQr_sTPU"", ""title"": ""Ellie Goldstein On What Her Disability Has Taught Her"", ""url"": ""https://www.youtube.com/watch?v=VaPeQr_sTPU""}]"
beauty,creator,,,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,,,,,,,,0.01639,1,"[{""video_id"": ""tnRrNLYBl8s"", ""title"": ""#창빈 의 #락챌린지 #LALALALA_Challenge 🤘 w/ #ITZY #CHAERYEONG #채령!👑 #StrayKids #스트레이키즈 #Changbin #樂_STAR"", ""url"": ""https://www.youtube.com/watch?v=tnRrNLYBl8s""}]"
beauty,creator,,,JUSTKASS,UCMCMjTKUqJ1pUzmHnKrmiCA,,,,,,,,0.01613,1,"[{""video_id"": ""jNtAxzvnDjU"", ""title"": ""BEFORE WE MOVE INTO OUR NEW HOUSE… #shorts"", ""url"": ""https://www.youtube.com/watch?v=jNtAxzvnDjU""}]"
